21-143	AbramÛw
21-412	AdamÛw
21-481	Wola Gu≥owska
22-442	AdamÛw
22-442	AdamÛw k. Zamoúcia
22-443	Suchowola
22-443	Suchowola k. Zamoúcia
22-444	Bondyrz
37-534	AdamÛwka
37-535	Cieplice
37-535	Cieplice k. Jaros≥awia
37-536	Majdan Sieniawski
23-408	AleksandrÛw
23-408	AleksandrÛw k. Bi≥goraja
26-337	AleksandrÛw
97-325	Dπbrowa nad Czarnπ
97-328	Skotniki
87-700	AleksandrÛw Kujawski
87-710	S≥uøewo
90-070	AleksandrÛw £Ûdzki
95-070	AleksandrÛw £Ûdzki
95-071	RπbieÒ
95-072	Be≥dÛw
32-066	Alwernia
32-566	Alwernia
95-020	Andrespol
95-022	Wiúniowa GÛra
34-120	AndrychÛw
34-125	Su≥kowice
34-125	Su≥kowice k. Andrychowa
07-305	Andrzejewo
18-320	Andrzejewo
18-320	Andrzejewo k. Czyøewa
23-235	Annopol
23-236	Kosin nad Wis≥π
27-635	Annopol
37-449	GrabÛwka Stara
16-300	AugustÛw
16-301	AugustÛw
16-302	AugustÛw
16-311	Bia≥obrzegi
16-311	Bia≥obrzegi k. Augustowa
16-323	Stare Rutki
16-324	JanÛwka
62-620	Babiak
62-621	BrdÛw
32-551	Babice
32-551	Babice k. Alwerni
32-555	ZagÛrze
32-555	ZagÛrze k. Chrzanowa
66-110	Babimost
66-111	Nowe Kramsko
48-120	BaborÛw
09-104	Sarbiewo
09-105	Dziektarzewo
09-130	Baboszewo
27-551	PiÛrkÛw
27-552	BaÊkowice
27-553	Go≥oszyce
16-423	Baka≥arzewo
38-606	BaligrÛd
27-423	Ba≥tÛw
74-110	Banie
74-111	Lubanowo
74-112	Swobnica
11-630	Banie Mazurskie
11-631	Rogale
11-632	Øabin
19-513	Øabin
19-514	Lisy
19-520	Banie Mazurskie
06-320	Baranowo
06-325	Jastrzπbka
06-325	Jastrzπbka k. Przasnysza
06-326	Baku≥a
06-326	Bakuta
06-327	Brodowe £πki
24-105	BaranÛw
24-105	BaranÛw nad Wieprzem
63-611	MroczeÒ
63-648	S≥upia
96-312	Kaski
96-314	BaranÛw
96-314	BaranÛw k. Grodziska Mazowieckiego
39-443	Dπbrowica
39-443	Dπbrowica k. Tarnobrzega
39-443	Dπbrowica k. Tarnobrzegu
39-450	BaranÛw Sandomierski
39-451	Skopanie
11-403	Drogosze
11-410	Barciany
11-411	Winda
11-412	Mo≥tajny
11-433	Skandawa
88-190	Barcin
88-191	Mamlicz
88-192	Piechcin
88-412	Barcin
88-413	Mamlicz
